date,usd_idr,us10y_yield
2021-08-12,14395.0,1.3669999837875366
2021-08-13,14341.0,1.2970000505447388
2021-08-16,14381.0,1.2569999694824219
2021-08-17,14363.0,1.2580000162124634
2021-08-18,14425.099609375,1.2730000019073486
2021-08-19,14454.2001953125,1.2419999837875366
2021-08-20,14493.400390625,1.2599999904632568
2021-08-23,14446.0,1.2549999952316284
2021-08-24,14430.0,1.2899999618530273
2021-08-25,14448.7001953125,1.3420000076293945
2021-08-26,14465.7001953125,1.3420000076293945
2021-08-27,14449.2998046875,1.312000036239624
2021-08-30,14411.0,1.284999966621399
2021-08-31,14362.0,1.3040000200271606
2021-09-01,14246.5,1.3020000457763672
2021-09-02,14269.2001953125,1.2940000295639038
2021-09-03,14245.5,1.3220000267028809
2021-09-06,14256.0,
2021-09-07,14231.400390625,1.3700000047683716
2021-09-08,14279.2001953125,1.3339999914169312
2021-09-09,14326.400390625,1.2990000247955322
2021-09-10,14258.7998046875,1.340999960899353
2021-09-13,14196.0,1.3240000009536743
2021-09-14,14291.599609375,1.2769999504089355
2021-09-15,14249.7001953125,1.3040000200271606
2021-09-16,14264.5,1.3309999704360962
2021-09-17,14283.900390625,1.3700000047683716
2021-09-20,14221.0,1.309000015258789
2021-09-21,14320.5,1.3240000009536743
2021-09-22,14237.5,1.3359999656677246
2021-09-23,14279.2001953125,1.409999966621399
2021-09-24,14286.5,1.4600000381469727
2021-09-27,14251.0,1.4839999675750732
2021-09-28,14242.5,1.534000039100647
2021-09-29,14318.599609375,1.5410000085830688
2021-09-30,14385.0,1.5290000438690186
2021-10-01,14328.599609375,1.4789999723434448
2021-10-04,14301.0,1.4809999465942383
2021-10-05,14300.5,1.5290000438690186
2021-10-06,14246.0,1.5240000486373901
2021-10-07,14232.400390625,1.5709999799728394
2021-10-08,14170.7998046875,1.6050000190734863
2021-10-11,14216.0,1.6139999628067017
2021-10-12,14194.0,1.5800000429153442
2021-10-13,14221.2001953125,1.5490000247955322
2021-10-14,14219.7001953125,1.5190000534057617
2021-10-15,14078.5,1.5759999752044678
2021-10-18,14067.0,1.5839999914169312
2021-10-19,14157.2001953125,1.6349999904632568
2021-10-20,14116.7998046875,1.6360000371932983
2021-10-21,14119.7998046875,1.6759999990463257
2021-10-22,14175.0,1.6549999713897705
2021-10-25,14116.0,1.6349999904632568
2021-10-26,14193.5,1.61899995803833
2021-10-27,14175.7001953125,1.5290000438690186
2021-10-28,14217.099609375,1.5679999589920044
2021-10-29,14229.0,1.5570000410079956
2021-11-01,14228.5,1.5750000476837158
2021-11-02,14276.599609375,1.5490000247955322
2021-11-03,14289.900390625,1.5789999961853027
2021-11-04,14366.0,1.5240000486373901
2021-11-05,14414.0,1.4529999494552612
2021-11-08,14319.7998046875,1.496999979019165
2021-11-09,14252.0,1.4320000410079956
2021-11-10,14290.0,1.559999942779541
2021-11-11,14302.400390625,1.559999942779541
2021-11-12,14261.7001953125,1.5820000171661377
2021-11-15,14186.7001953125,1.6230000257492065
2021-11-16,14185.400390625,1.6339999437332153
2021-11-17,14274.2001953125,1.6039999723434448
2021-11-18,14223.7998046875,1.5889999866485596
2021-11-19,14204.7001953125,1.5360000133514404
2021-11-22,14265.099609375,1.625
2021-11-23,14259.599609375,1.6670000553131104
2021-11-24,14272.5,1.6449999809265137
2021-11-25,14303.400390625,
2021-11-26,14320.0,1.4819999933242798
2021-11-29,14408.2001953125,1.5299999713897705
2021-11-30,14377.0,1.4429999589920044
2021-12-01,14333.0,1.434000015258789
2021-12-02,14376.0,1.4479999542236328
2021-12-03,14443.7998046875,1.343000054359436
2021-12-06,14514.0,1.434000015258789
2021-12-07,14490.0,1.4800000190734863
2021-12-08,14393.2998046875,1.5089999437332153
2021-12-09,14335.0,1.4869999885559082
2021-12-10,14297.400390625,1.4889999628067017
2021-12-13,14351.900390625,1.4240000247955322
2021-12-14,14324.7001953125,1.437999963760376
2021-12-15,14342.5,1.4630000591278076
2021-12-16,14297.5,1.4220000505447388
2021-12-17,14380.0,1.4019999504089355
2021-12-20,14385.7001953125,1.4190000295639038
2021-12-21,14388.7001953125,1.4869999885559082
2021-12-22,14263.900390625,1.4570000171661377
2021-12-23,14193.7998046875,1.4930000305175781
2021-12-24,14167.7998046875,
2021-12-27,14189.2998046875,1.4809999465942383
2021-12-28,14220.0,1.4809999465942383
2021-12-29,14238.2001953125,1.5429999828338623
2021-12-30,14237.0,1.5149999856948853
2021-12-31,14285.2001953125,1.5119999647140503
2022-01-03,14215.0,1.628000020980835
2022-01-04,14283.599609375,1.6679999828338623
2022-01-05,14385.5,1.7050000429153442
2022-01-06,14446.5,1.7330000400543213
2022-01-07,14408.0,1.7710000276565552
2022-01-10,14318.5,1.7799999713897705
2022-01-11,14313.0,1.746000051498413
2022-01-12,14277.0,1.725000023841858
2022-01-13,14298.900390625,1.7109999656677246
2022-01-14,14276.0,1.7719999551773071
2022-01-17,14314.5,
2022-01-18,14349.7001953125,1.8650000095367432
2022-01-19,14382.2998046875,1.8270000219345093
2022-01-20,14362.7998046875,1.8329999446868896
2022-01-21,14343.0,1.746999979019165
2022-01-24,14329.7001953125,1.7350000143051147
2022-01-25,14365.0,1.7829999923706055
2022-01-26,14330.5,1.8480000495910645
2022-01-27,14366.400390625,1.8070000410079956
2022-01-28,14389.2001953125,1.781999945640564
2022-01-31,14381.599609375,1.781999945640564
2022-02-01,14350.0,1.7999999523162842
