date,realized_variance,variance_EWMA(lambda=0.94),"variance_GARCH(1,1)","variance_EGARCH(1,1)","variance_GJR-GARCH(1,1)"
2025-06-04,0.07244449622031603,0.17479626402060258,0.14997852813827753,0.15793936402433098,0.1485020340574179
2025-06-05,0.06287001923065946,0.16865515795258537,0.14413586890585522,0.15752355529033912,0.14308765710549845
2025-06-06,0.07684702471167983,0.1623080496292698,0.1394847191093555,0.15784358422282485,0.13835462423332293
2025-06-09,0.14789661230903767,0.1571803881342144,0.13766179516262503,0.1610454848304632,0.13640707199516086
2025-06-10,0.03435339507819645,0.1566233615847038,0.14434075845803063,0.17327150342122216,0.1437239149986028
2025-06-11,0.03633342296285971,0.14928716359431335,0.13524669498663677,0.16451444176417593,0.13459451219865748
2025-06-12,8.608906603996077,0.14250993915642612,0.12779890514676057,0.15749367680958956,0.12710732312654482
2025-06-13,5.856842869489182,0.6504937390468056,1.3913808702682298,1.0092693599281095,1.357363650553474
2025-06-16,0.529918382593488,0.9628746868733485,2.046467026836536,1.5444639259292783,2.037886792904833
2025-06-17,9.01428555805119,0.9368973086165568,1.8274556299772529,1.4271339111416617,1.8222152078492735
2025-06-18,8.736138209101552,1.4215406035826352,2.9009194208962805,2.257635735726924,2.8617516047643687
2025-06-19,18.024637324908305,1.8604164599137705,3.7556599521224308,3.006969883598416,3.753016627973396
2025-06-20,24.499170712883156,2.8302697118134432,5.874842032115748,4.583657264918509,5.803219989298309
2025-06-23,0.06242011124296836,4.130403771877627,8.603775781974363,6.590469752484775,8.62923114834647
2025-06-24,0.13833959320984643,3.886324752239547,7.353240993556699,5.151877391457899,7.376655314989723
2025-06-25,0.2399989500051646,3.6614456426977653,6.299866501739052,4.138127226722869,6.3206089107419245
2025-06-26,0.0,3.456158841136209,5.416755313378905,3.4138309367306845,5.4346356286675555
2025-06-27,0.17088091427637325,3.248789310668036,4.626585390266341,2.6492093061578466,4.642791020163061
2025-06-30,0.0014601355217036815,3.064114806884536,3.9791390077452853,2.2186423674202036,3.993115980814247
2025-07-01,3.796555209612823e-05,2.880355526602766,3.400483174394529,1.74610392470615,3.4130995383731033
2025-07-02,0.0015545499561736874,2.7075364729397258,2.906827192353387,1.3768728497240281,2.9181797041157513
2025-07-03,7.439715765748242e-05,2.5451775575607125,2.48588385988314,1.0983070761753935,2.496068772982767
2025-07-04,0.037240596456925595,2.392471367936529,2.126790969273852,0.8797040948612966,2.1359050007328864
2025-07-07,0.025196123373937552,2.2511575216477526,1.8265922047322174,0.7482163389124824,1.834586498768727
2025-07-08,0.7519794114474662,2.117599837751323,1.5686570613244033,0.6352257000777847,1.575688479253128
2025-07-09,0.1263352048373539,2.0356626121730916,1.452108235106476,0.6867126428053784,1.460857751449131
2025-07-10,0.025606313630064027,1.9211029677329472,1.2647804563802203,0.6250495886577738,1.271998685364428
2025-07-11,0.025491849852748237,1.807373168486774,1.0895344412625005,0.5359776312360884,1.0958013086252365
2025-07-14,0.006329106605434771,1.7004602893687322,0.18765141267343963,0.2222359595714867,0.1867394104837142
2025-07-15,0.0443540800495634,1.5988124184029342,0.14888005986680655,0.17343402220747597,0.1482923667727947
2025-07-16,0.0006364485761868316,1.505544918101732,0.14346339517923656,0.16215246935934188,0.14253007627918812
2025-07-17,0.013796351992507725,1.415250409930199,0.12399433671366254,0.1260788544682749,0.12341388127521792
2025-07-18,0.12879928914205238,1.3311631664539376,0.11791776297929285,0.11117441865931883,0.11743232419620134
2025-07-21,0.0028400959866619986,1.2590213338152245,0.16217752180052092,0.1413725001197439,0.15994193289572897
2025-07-22,0.0027109292890692685,1.1836504595455108,0.13517847151895004,0.1156946673612936,0.13392744878960694
2025-07-23,0.2672542454456358,1.1127940877301243,0.11970946739671379,0.09434078242281566,0.11898166260749267
2025-07-24,0.016372209621139375,1.062061697193055,0.23213311162811545,0.1709231705327114,0.236361699779844
2025-07-25,0.06306627565342399,0.9993203279387399,0.1763827671802095,0.1456685462797828,0.1783963453560723
2025-07-28,0.07934944038809223,0.943145084801621,0.1657895094254409,0.14849979855432985,0.16594072359677944
2025-07-29,0.07822326916869192,0.8913173461368091,0.1669219844710342,0.1565240300961365,0.16582615439288684
2025-07-30,0.035573184681036145,0.842531701518722,0.16705499416973493,0.16242270362337524,0.1653147807161515
2025-07-31,0.12902976890997758,0.7941141905084609,0.1533557209886744,0.1541316289579446,0.15289949502804864
2025-08-01,0.11664627797640956,0.7542091252125518,0.18110215108805833,0.1768719935897116,0.1788711558837427
2025-08-04,0.0,0.7159553543783833,0.19064557713481664,0.19114629268055033,0.18767189361684455
2025-08-05,0.5428703582074434,0.6729980331156803,0.1485294849169407,0.14201386122431714,0.1468588115667758
2025-08-06,0.008965600176263477,0.6651903726211861,0.369353288511771,0.2834620148683844,0.37809738067556076
2025-08-07,0.06847381899719594,0.6258168862744907,0.24640766425759808,0.21790473690516685,0.250883717025024
2025-08-08,0.045223576192297055,0.592376302237853,0.2105422221271016,0.21082888690588478,0.21394367072880177
2025-08-11,0.09820322577457843,0.5595471386751196,0.18089436200427697,0.19500822173158283,0.18332641581058853
2025-08-12,0.09066316579890431,0.5318665039010871,0.18916925272498816,0.20504124358719564,0.19202362094986639
2025-08-13,0.09365163528523662,0.5053943036149562,0.18405916904604924,0.2041397112258886,0.18421107886631086
2025-08-14,0.7402921891462491,0.48068974351517296,0.18879974528106533,0.21040019521073047,0.19036175624111262
2025-08-15,0.13821343418389603,0.4962658902530375,0.4777271480558598,0.38995797945367583,0.49179702784378015
2025-08-18,0.027837901795711592,0.474782742888889,0.3572975229874195,0.35670590515632267,0.36256323576787075
2025-08-19,0.0033668537776727326,0.4479660524232983,0.24746545804493295,0.2825781415914667,0.2498454706988758
2025-08-20,0.18472328413470931,0.4212901005045607,0.17959072075577828,0.21026264394052924,0.18076486177079973
2025-08-21,0.005084132023348834,0.40709609152236964,0.21850797277768805,0.23796151702908355,0.21620156498061616
2025-08-22,0.21792871340238834,0.38297537395242837,0.1662633175332538,0.186319471825126,0.16499483911986815
2025-08-25,0.4790328360352995,0.373072574319426,0.22547019793674292,0.22808395269924214,0.2213042074997752
2025-08-26,0.06061415573371667,0.3794301900223784,0.3820582382439276,0.34028285050984153,0.38829487815751595
2025-08-27,0.03910597422372046,0.3603012279650587,0.27404791298609615,0.28968861218131525,0.2764395360133691
2025-08-28,0.008237305750436054,0.3410295127405784,0.2078152300364023,0.24338449321610048,0.2085188767908327
2025-08-29,0.03443124728915338,0.32106198032116984,0.16030782541366742,0.18994405175061718,0.16055411418402143
2025-09-01,0.1560853647028159,0.30386413633924886,0.14548017106295985,0.1697065842331884,0.14513717927696662
2025-09-02,0.0005366388673514209,0.2949974100410629,0.18830230239059376,0.19738783399966559,0.18568045975244415
2025-09-03,0.05552156311195564,0.2773297637706402,0.1477525064733632,0.1500317146803248,0.14626566631405383
2025-09-04,0.013475196470418494,0.2640212717311191,0.14745968379746374,0.14901521299489237,0.14587626101204615
2025-09-05,0.00438686024201325,0.24898850721547705,0.1302591436092741,0.12783908090576718,0.1292404189656662
2025-09-08,0.13393359868347954,0.2343124083970692,0.11902347456619432,0.10785379866505877,0.11844644819738806
2025-09-09,0.10856579175821322,0.22828967981425383,0.1723463077617518,0.14593471380897727,0.17425193744519268
2025-09-10,0.00053397332137668,0.2211062465308914,0.18260709803612538,0.16402397746639844,0.18196542479906375
2025-09-11,0.0043938521508682235,0.2078719101383205,0.1442562177701506,0.1243052526213876,0.1438432558197668
2025-09-12,0.023911205614483295,0.19566322665907335,0.12646354037967597,0.1052806941292584,0.1262055288319484
2025-09-15,0.005897120155940021,0.18535810539639794,0.12638141891401097,0.10432149607061934,0.12652240143443927
2025-09-16,0.04936693873313436,0.17459044628197046,0.11772616908735045,0.09199052093886759,0.11778788408241718
2025-09-17,0.04182062881589363,0.1670770358290403,0.13347797746965753,0.10466052081670563,0.13422675923451763
2025-09-18,0.015609106123922366,0.1595616514082515,0.134242254602966,0.10813794522117635,0.13406042193339668
2025-09-19,0.8325972376233951,0.15092449869119173,0.12407365863073269,0.09879338574335587,0.12377450315979133
2025-09-22,0.16725149742477635,0.19182486302712395,0.4654383577442975,0.3035258817624078,0.4510083263588217
2025-09-23,0.10965111563568314,0.1903504610909831,0.36300037082786984,0.30390934503795014,0.35264503799553726
2025-09-24,0.09430452079660605,0.18550850036366512,0.29107129948549404,0.2912187918483035,0.28730156148215374
2025-09-25,0.13887294070429146,0.18003626158964156,0.2397190617284669,0.2693079381338628,0.23627328091586866
2025-09-26,0.14639280131260643,0.17756646233652054,0.23112377924029606,0.26911098111894455,0.22712369337380003
2025-09-29,0.04649860938155601,0.17569604267508568,0.22972150739696823,0.27144206721245834,0.22530295215859067
2025-09-30,0.3245576352194487,0.1679441966774739,0.19166795234326953,0.23964675535628063,0.18996513912239796
2025-10-01,0.10904627097126024,0.1773410029899924,0.2957811596228294,0.3093375791698389,0.3005175666456675
2025-10-02,0.0544970848293679,0.17324331906886847,0.24838795235955696,0.2880591289933872,0.24921707849923874
2025-10-03,0.06567549577331266,0.16611854501449844,0.20523899937162698,0.2556252180990104,0.20645850837758584
2025-10-06,0.06883717780745628,0.1600919620600273,0.18739986141761908,0.23749953256634826,0.18903088990391897
2025-10-07,0.0539382529068111,0.15461667500487303,0.17935682373888795,0.22556543594856046,0.18126549593274596
2025-10-08,0.003278406814496766,0.1485759696789893,0.1635975305775655,0.204902036849869,0.16383583215259337
2025-10-09,0.03499451659260938,0.13985811590711977,0.134749385739709,0.16030761102294333,0.1348307912625207
2025-10-10,0.01715570068308503,0.13356629994824912,0.13485606263930297,0.15207613435694048,0.13521145676945
2025-10-13,0.014977710532387254,0.12658166399233925,0.12411990820708345,0.13230842683739302,0.12418399597263656
2025-10-14,0.09102033021967579,0.11988542678474214,0.11747152603146976,0.11636111522106707,0.11739797653075454
